hogar_id,miembros_hogar,gasto_per_capita
H0001,4,272.77
H0003,3,534.04
H0004,5,213.56
H0005,3,208.26
H0006,3,104.75
H0007,7,404.74
H0008,3,341.98
H0009,4,170.54
H0010,6,306.99
H0012,5,218.93
H0013,7,272.8
H0016,4,264.55
H0017,5,431.19
H0018,6,169.22
H0019,3,336.9
H0020,3,132.59
H0021,3,135.15
H0022,6,293.66
H0024,5,320.63
H0026,4,242.95
H0027,3,213.14
H0028,3,540.9
H0029,7,263.84
H0030,6,348.22
H0032,5,272.16
H0034,4,451.84
H0035,5,132.59
H0036,4,118.8
H0037,6,154.49
H0038,7,248.02
H0039,4,274.71
H0041,6,217.94
H0042,6,199.94
H0043,5,430.32
H0044,6,492.08
H0045,7,467.18
H0046,5,458.06
H0048,3,219.58
H0051,6,81.7
H0052,4,102.9
H0053,7,490.51
H0056,7,513.36
H0057,7,352.56
H0058,4,193.38
H0059,4,181.02
H0061,5,142.71
H0062,4,253.91
H0063,4,333.34
H0064,5,609.38
H0066,6,567.75
H0067,6,247.47
H0068,7,332.5
H0069,7,394.51
H0070,6,206.05
H0073,5,359.11
H0074,7,433.97
H0075,5,169.26
H0077,6,575.04
H0078,3,326.6
H0079,3,319.29
H0081,4,181.59
H0082,5,264.13
H0083,4,313.91
H0085,6,81.44
H0086,4,447.14
H0090,6,218.76
H0091,4,351.18
H0093,6,537.66
H0094,4,367.76
H0095,4,278.89
H0097,3,416.27
H0098,7,254.12
H0100,4,270.14
H0101,5,126.68
H0103,7,213.15
H0104,4,369.6
H0106,5,308.95
H0107,6,290.81
H0108,5,468.5
H0109,6,187.15
H0110,6,291.59
H0111,7,369.08
H0112,5,291.37
H0115,5,387.22
H0116,7,580.92
H0117,3,558.47
H0118,7,609.46
H0119,7,348.57
H0120,7,168.54
H0122,7,211.4
H0125,6,313.77
H0129,6,495.19
H0130,7,410.24
H0131,6,507.25
H0132,5,128.69
H0133,6,611.15
H0134,7,300.39
H0135,6,197.69
H0136,4,365.95
H0138,7,161.81
H0139,7,534.09
H0140,3,417.76
H0141,6,175.36
H0142,5,391.99
H0145,5,522.11
H0146,6,212.21
H0147,6,499.4
H0148,6,267.78
H0149,6,264.92
H0150,7,342.67
H0151,3,377.79
H0152,4,220.76
H0153,3,299.15
H0154,7,575.25
H0155,3,272.66
H0156,4,423.6
H0158,5,248.03
H0159,3,253.49
H0160,3,309.98
H0163,7,616.77
H0164,6,341.08
H0166,4,277.89
H0167,6,349.07
H0168,4,424.02
H0169,4,263.42
H0170,4,225.78
H0171,4,421.81
H0172,4,247.19
H0174,3,449.91
H0175,6,262.3
H0176,4,267.97
H0177,6,308.26
H0178,7,212.99
H0179,4,145.1
H0180,6,360.7
H0181,5,614.66
H0182,4,578.36
H0183,5,382.78
H0185,5,172.71
H0186,6,77.77
H0187,6,536.21
H0188,5,544.5
H0189,5,538.9
H0190,6,323.72
H0191,5,319.19
H0192,5,183.42
H0193,5,331.89
H0194,6,303.9
H0195,4,167.82
H0197,6,469.69
H0200,6,475.71
H0202,4,461.33
H0203,7,508.93
H0204,5,397.85
H0206,7,462.1
H0207,4,616.65
H0208,6,236.24
H0209,3,336.11
H0210,3,200.54
H0211,5,139.64
H0212,3,172.78
H0214,3,575.07
H0215,5,249.15
H0216,3,424.66
H0217,4,543.16
H0218,3,230.95
H0219,4,341.98
H0220,4,331.62
H0221,4,210.77
H0222,3,507.24
H0223,4,516.69
H0224,7,84.12
H0225,4,245.74
H0226,6,209.9
H0227,3,380.06
H0229,6,435.2
H0231,5,272.62
H0232,4,618.39
H0233,3,277.92
H0234,4,207.07
H0235,4,278.07
H0237,5,211.9
H0238,7,329.96
H0239,6,544.48
H0240,7,281.34
H0242,5,337.29
H0243,5,140.11
H0244,4,464.99
H0245,5,385.38
H0246,5,174.41
H0251,4,183.1
H0252,5,78.43
H0253,5,465.16
H0254,5,551.76
H0257,4,301.78
H0258,5,231.01
H0259,5,201.96
H0261,4,561.23
H0262,5,247.23
H0263,6,531.21
H0264,3,351.14
H0265,4,159.79
H0266,3,229.09
H0267,3,227.18
