query_id,document_id,page_start,page_end,relevance,verified_by,verified_date,verification_note
B01,kahneman-2011,23,23,1,Codex-local-PDF-audit,2026-08-04,"System 1/System 2 contrast confirmed in local PDF; approved by Kristian G4 on 2026-08-04."
B01,kahneman-2011,27,27,1,Codex-local-PDF-audit,2026-08-04,"System 1/System 2 capabilities contrasted; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B01,kahneman-2011,73,74,1,Codex-local-PDF-audit,2026-08-04,"Fast intuitive versus slower controlled processing confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B01,kahneman-2011,284,285,1,Codex-local-PDF-audit,2026-08-04,"Meaning and division of labor of the two systems confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B01,behavioral-guide-2016,88,88,1,Codex-local-PDF-audit,2026-08-04,"Intuitive versus deliberative processing contrast confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B02,kahneman-2011,203,204,1,Codex-local-PDF-audit,2026-08-04,"Pen/chocolate exchange evidence confirmed in local PDF; approved by Kristian G4 on 2026-08-04."
B02,kagel-roth-vol2,489,492,1,Codex-local-PDF-audit,2026-08-04,"Market-experience and endowment-effect evidence confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B02,charness-pingle-2021,42,43,1,Codex-local-PDF-audit,2026-08-04,"Experimental-design evidence on the endowment effect confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B02,charness-pingle-2021,212,213,1,Codex-local-PDF-audit,2026-08-04,"Market experience and endowment-effect evidence confirmed; pooled top-five result, approved by Kristian G4 on 2026-08-04."
B02,kahneman-2011,341,342,1,Codex-agent-pool-audit,2026-08-04,"Plott-Zeiler procedure and disappearance of the effect confirmed in indexed page; approved by Kristian G4 on 2026-08-04."
B02,charness-pingle-2021,133,134,1,Codex-agent-pool-audit,2026-08-04,"Cross-study evidence that trading experience attenuates the effect confirmed; approved by Kristian G4 on 2026-08-04."
