query_id,category,query_type,query,expected_documents,relevance_criterion,teaching_purpose
B01,behavioral,cross-lingual,"¿Cuáles son las diferencias entre el Sistema 1 y el Sistema 2 en el procesamiento cognitivo?",kahneman-2011,"Contrasta el sistema rápido/intuitivo con el lento/deliberado; listarlos sin explicar no basta.","Muestra recuperación español→inglés y el límite de la coincidencia léxica."
B02,behavioral,exact-anchor,"¿Qué evidencia empírica se documenta sobre el 'endowment effect' en transacciones de mercado?",behavioral-guide-2016|kahneman-2011|camerer-2003,"Describe evidencia experimental del efecto dotación; una definición aislada no basta.","Muestra cuándo un término técnico exacto ayuda al recuperador híbrido."
B03,behavioral,trap,"¿Cómo demuestra la economía conductual que los consumidores siempre toman decisiones perfectamente racionales?",behavioral-guide-2016|kahneman-2011|camerer-2003,"La evidencia debe cuestionar la premisa mediante racionalidad limitada o desviaciones del modelo estándar.","Enseña que recuperar evidencia no equivale a aceptar la premisa de la pregunta."
B04,behavioral,general,"¿De qué manera la aversión a la pérdida (loss aversion) afecta la toma de decisiones bajo riesgo?",kahneman-2011|camerer-2003,"Explica la asimetría entre pérdidas y ganancias; una mención nominal no basta.","Evalúa si el pasaje fundacional aparece temprano entre varias obras."
E01,experimental,cross-lingual,"¿Cuáles son las ventajas metodológicas de la asignación aleatoria en ensayos de campo?",gerber-green-2012|imbens-rubin-2015,"Vincula asignación aleatoria con comparabilidad causal, balance o reducción del sesgo de selección.","Prueba equivalencias español→inglés en metodología causal."
E02,experimental,trap,"¿Qué recomiendan Imbens y Rubin para el diseño de experimentos de laboratorio con estudiantes de pregrado?",friedman-cassar-2004|charness-pingle-2021|kagel-roth-vol1,"Recupera evidencia sobre sujetos y diseño de laboratorio aunque la atribución de la pregunta sea engañosa.","Contrasta coincidencia por autor con pertinencia temática."
E03,experimental,exact-anchor,"¿Cuáles son los supuestos principales —incluida SUTVA— detrás del framework 'potential outcomes'?",imbens-rubin-2015,"Expone al menos un supuesto o componente identificador del marco, incluida SUTVA; definir tratamiento y control vagamente no basta.","Usa dos anclas inglesas precisas dentro de una consulta española."
E04,experimental,general,"¿Por qué se recomienda el pago con incentivos monetarios contingentes al desempeño en economía experimental?",list-2026|kagel-roth-vol1|friedman-cassar-2004,"Conecta incentivos con saliencia, control experimental o reducción de ruido; decir solo que se paga no basta.","Permite relevancia en varias obras y hace útil nDCG@5."
G01,game-theory,cross-lingual,"¿Qué condiciones deben cumplirse para un equilibrio perfecto en subjuegos?",mas-colell-1995|osborne-rubinstein-1994|osborne-2003,"Exige equilibrio de Nash en cada subjuego; una definición de Nash estático no basta.","Prueba traducción de terminología formal."
G02,game-theory,general,"¿Cómo se resuelve analíticamente un juego de negociación de ofertas alternadas infinito?",osborne-rubinstein-1994|mas-colell-1995,"Explica el papel del descuento y el acuerdo en ofertas alternadas; ultimátum de un periodo no basta.","Evalúa recuperación de un argumento técnico, no solo vocabulario."
G03,game-theory,exact-anchor,"¿Bajo qué circunstancias ocurre una falla de mercado debido a 'adverse selection'?",mas-colell-1995,"Relaciona selección adversa con información oculta previa y la distingue de riesgo moral.","Mide precisión del híbrido ante conceptos vecinos."
G04,game-theory,trap,"¿Cómo demuestra Mas-Colell que todos los juegos de suma cero en tiempo discreto tienen al menos un equilibrio en estrategias puras?",mas-colell-1995|myerson-1997,"La evidencia debe corregir la premisa mostrando estrategias mixtas o minimax; no debe apoyar la afirmación falsa.","Hace visible que la recuperación no certifica una premisa falsa."
