record_id,title,year,doi,source,note
r1,"The potential of generative AI for personalized persuasion at scale",2024,10.1038/s41598-024-53755-0,Scientific Reports,"Real record; metadata only, no passage ships with this lab"
r2,"Evaluating the persuasive influence of political microtargeting with large language models",2024,10.1073/pnas.2403116121,PNAS,"Real record; metadata only, no passage ships with this lab"
r3,"On the conversational persuasiveness of GPT-4",2025,10.1038/s41562-025-02194-6,Nature Human Behaviour,"Real record; metadata only, no passage ships with this lab"
r4,"LLM-generated messages can persuade humans on policy issues",2025,10.1038/s41467-025-61345-5,Nature Communications,"Real record; metadata only, no passage ships with this lab"
r5,"The levers of political persuasion with conversational artificial intelligence",2025,10.1126/science.aea3884,Science,"Real record; metadata only, no passage ships with this lab"
r6,"Durably reducing conspiracy beliefs through dialogues with AI",2024,10.1126/science.adq1814,Science,"Real record; editorial status inherited from the verified starter workspace"
r7,"The Persuasive Power of Large Language Models",2024,10.1609/icwsm.v18i1.31304,ICWSM,"Real record; the title matches the question but the persuasion happens between models"
r8,"Impact of Artificial Intelligence-Generated Content Labels On Perceived Accuracy, Message Credibility, and Sharing Intentions for Misinformation: Web-Based, Randomized, Controlled Experiment",2024,10.2196/60024,JMIR Formative Research,"Real record; the intervention is a content label, not an LLM-generated persuasive message"
T1,"Mensaje generado por modelo frente a mensaje humano",2026,,Corpus didactico sintetico,"SYNTHETIC teaching source; passage in case/source_packet.md"
T2,"Comparacion de argumentos entre modelos",2026,,Corpus didactico sintetico,"SYNTHETIC teaching source; passage in case/source_packet.md"
T3,"Conversaciones registradas con un asistente",2026,,Corpus didactico sintetico,"SYNTHETIC teaching source; passage in case/source_packet.md"
T4,"Intencion declarada frente a conducta",2026,,Corpus didactico sintetico,"SYNTHETIC teaching source; passage in case/source_packet.md"
