query_id,document_id,page_start,page_end,seen_in_modes,best_rank,judgment
B01,camerer-2003,191,192,lexical|hybrid,1,explicit-negative
B01,kahneman-2011,27,27,hybrid,1,positive
B01,kahneman-2011,73,74,dense|hybrid,1,positive
B01,kahneman-2011,211,213,lexical,2,explicit-negative
B01,kahneman-2011,284,285,dense,2,positive
B01,kockesen-ok-2007,63,64,hybrid,2,explicit-negative
B01,behavioral-guide-2016,88,88,dense,3,positive
B01,camerer-2003,128,129,hybrid,3,explicit-negative
B01,frechette-schotter,255,256,lexical,3,explicit-negative
B01,camerer-2003,117,118,lexical,4,explicit-negative
B01,frechette-schotter,205,206,dense,4,explicit-negative
B01,charness-pingle-2021,190,190,lexical,5,explicit-negative
B01,kagel-roth-vol1,315,315,dense,5,explicit-negative
B02,kagel-roth-vol2,489,490,dense|hybrid,1,positive
B02,kagel-roth-vol2,491,492,lexical|dense|hybrid,1,positive
B02,charness-pingle-2021,42,43,dense,2,positive
B02,charness-pingle-2021,212,213,lexical,2,positive
B02,kahneman-2011,203,204,lexical|hybrid,2,positive
B02,charness-pingle-2021,133,134,hybrid,4,positive
B02,kagel-roth-vol1,82,83,dense,4,explicit-negative
B02,kahneman-2011,341,342,lexical,4,positive
B02,charness-pingle-2021,42,42,lexical,5,positive
B02,kagel-roth-vol1,506,506,dense,5,explicit-negative
B02,list-2026,268,269,hybrid,5,positive
B03,behavioral-guide-2016,33,35,hybrid,1,positive
B03,behavioral-guide-2016,146,147,dense|hybrid,1,positive
B03,kagel-roth-vol1,520,521,lexical|hybrid,1,explicit-negative
B03,friedman-cassar-2004,144,145,lexical|hybrid,2,explicit-negative
B03,osborne-2003,21,21,dense|hybrid,2,positive
B03,kagel-roth-vol1,274,277,lexical,3,explicit-negative
B03,mas-colell-1995,143,143,dense,3,explicit-negative
B03,kahneman-2011,317,319,dense,4,explicit-negative
B03,list-2026,40,41,lexical,4,positive
B03,jacquemet-lharidon-2018,449,450,dense,5,explicit-negative
B04,jacquemet-lharidon-2018,335,335,lexical,1,positive
B04,kahneman-2011,194,195,hybrid,1,positive
B04,kahneman-2011,305,306,dense,1,positive
B04,kagel-roth-vol2,195,195,lexical|hybrid,2,positive
B04,kahneman-2011,194,194,hybrid,2,positive
B04,kahneman-2011,309,310,dense,2,positive
B04,behavioral-guide-2016,123,123,lexical,3,positive
B04,kagel-roth-vol2,684,685,lexical|dense|hybrid,3,positive
B04,mas-colell-1995,173,174,dense,4,explicit-negative
B04,behavioral-guide-2016,130,131,dense,5,explicit-negative
B04,jacquemet-lharidon-2018,148,149,hybrid,5,positive
B04,jacquemet-lharidon-2018,333,334,lexical,5,positive
E01,camerer-2003,191,192,lexical|hybrid,1,explicit-negative
E01,gerber-green-2012,36,37,dense|hybrid,1,positive
E01,gerber-green-2012,89,89,dense|hybrid,2,positive
E01,kahneman-2011,211,213,lexical|hybrid,2,explicit-negative
E01,camerer-2003,117,118,lexical,3,explicit-negative
E01,friedman-cassar-2004,68,69,dense|hybrid,3,positive
E01,charness-pingle-2021,190,190,lexical,4,explicit-negative
E01,imbens-rubin-2015,209,209,dense,4,positive
E01,list-2026,191,192,dense,5,positive
E01,mas-colell-1995,881,881,lexical,5,explicit-negative
E02,frechette-schotter,414,415,dense|hybrid,1,explicit-negative
E02,imbens-rubin-2015,77,77,dense|hybrid,1,explicit-negative
E02,imbens-rubin-2015,452,452,lexical|hybrid,1,explicit-negative
E02,frechette-schotter,232,233,dense|hybrid,2,positive
E02,imbens-rubin-2015,561,561,lexical,2,explicit-negative
E02,gerber-green-2012,240,240,lexical,3,explicit-negative
E02,jacquemet-lharidon-2018,214,215,dense|hybrid,3,explicit-negative
E02,list-2026,44,45,dense,4,positive
E02,list-2026,221,222,lexical,4,explicit-negative
E02,list-2026,419,420,lexical,5,explicit-negative
E03,imbens-rubin-2015,483,483,dense|hybrid,1,explicit-negative
E03,list-2026,134,134,dense|hybrid,1,positive
E03,list-2026,343,344,lexical,1,positive
E03,imbens-rubin-2015,34,35,lexical,2,positive
E03,list-2026,339,344,hybrid,2,positive
E03,gerber-green-2012,31,31,lexical|hybrid,3,positive
E03,jacquemet-lharidon-2018,146,147,dense,3,explicit-negative
E03,list-2026,81,81,lexical,3,positive
E03,gerber-green-2012,29,29,hybrid,4,positive
E03,list-2026,680,681,dense,4,unjudged
E03,gerber-green-2012,28,29,lexical,5,positive
E03,imbens-rubin-2015,482,483,dense,5,explicit-negative
E04,list-2026,695,695,dense|hybrid,1,positive
E04,mas-colell-1995,803,804,lexical|hybrid,1,explicit-negative
E04,kagel-roth-vol1,113,113,dense|hybrid,2,positive
E04,mas-colell-1995,803,803,lexical|hybrid,2,explicit-negative
E04,holt-2019,329,330,dense|hybrid,3,explicit-negative
E04,list-2026,40,41,lexical,3,unjudged
E04,jacquemet-lharidon-2018,169,170,dense,4,positive
E04,charness-pingle-2021,85,86,lexical,5,explicit-negative
E04,jacquemet-lharidon-2018,158,158,dense,5,positive
G01,kagel-roth-vol1,274,277,lexical|hybrid,1,explicit-negative
G01,osborne-rubinstein-1994,143,144,dense|hybrid,1,explicit-negative
G01,list-2026,40,41,lexical|hybrid,2,explicit-negative
G01,osborne-rubinstein-1994,169,169,dense|hybrid,2,positive
G01,friedman-cassar-2004,124,125,dense|hybrid,3,explicit-negative
G01,osborne-2003,512,512,dense,4,explicit-negative
G01,mas-colell-1995,866,867,dense,5,explicit-negative
G02,camerer-2003,81,82,dense|hybrid,1,positive
G02,friedman-cassar-2004,144,145,lexical|hybrid,1,explicit-negative
G02,kagel-roth-vol2,498,499,lexical|hybrid,2,explicit-negative
G02,osborne-rubinstein-1994,143,144,dense|hybrid,2,positive
G02,kagel-roth-vol1,520,521,lexical,3,explicit-negative
G02,myerson-1997,412,413,dense|hybrid,3,positive
G02,myerson-1997,512,513,dense,4,unjudged
G02,camerer-2003,41,41,dense,5,explicit-negative
G03,mas-colell-1995,460,461,lexical|dense|hybrid,1,positive
G03,myerson-1997,281,281,lexical,1,positive
G03,charness-pingle-2021,140,141,dense,2,explicit-negative
G03,mas-colell-1995,465,466,dense|hybrid,2,positive
G03,kagel-roth-vol1,577,578,dense|hybrid,3,positive
G03,kagel-roth-vol1,600,601,dense,3,explicit-negative
G03,mas-colell-1995,460,460,lexical,3,positive
G03,charness-pingle-2021,96,96,lexical,4,unjudged
G03,kagel-roth-vol1,597,597,hybrid,4,positive
G03,frechette-schotter,367,368,hybrid,5,unjudged
G03,kagel-roth-vol1,596,597,lexical,5,positive
G04,mas-colell-1995,661,661,lexical|hybrid,1,explicit-negative
G04,myerson-1997,328,329,dense|hybrid,1,explicit-negative
G04,mas-colell-1995,143,143,lexical|hybrid,2,explicit-negative
G04,myerson-1997,373,374,dense|hybrid,2,explicit-negative
G04,kagel-roth-vol1,33,34,dense|hybrid,3,explicit-negative
G04,osborne-rubinstein-1994,313,314,lexical,3,explicit-negative
G04,osborne-2003,151,152,dense,4,unjudged
G04,osborne-rubinstein-1994,344,345,lexical,4,explicit-negative
G04,kagel-roth-vol2,724,724,lexical,5,explicit-negative
G04,osborne-rubinstein-1994,114,114,dense,5,explicit-negative
