estudiante_id,hogar_id,edad,sexo,zona,distrito,juntos,asiste_regularmente
E00001,H0001,10,hombre,urbana,Distrito_B,0,1
E00002,H0001,9,hombre,urbana,Distrito_B,0,1
E00003,H0002,13,mujer,rural,Distrito_E,1,1
E00004,H0003,16,mujer,urbana,Distrito_B,0,1
E00005,H0004,7,mujer,rural,Distrito_D,1,1
E00006,H0004,17,mujer,rural,Distrito_D,1,1
E00007,H0004,17,mujer,rural,Distrito_D,1,0
E00008,H0005,15,hombre,rural,Distrito_C,0,1
E00009,H0005,10,mujer,rural,Distrito_C,0,1
E00010,H0005,12,mujer,rural,Distrito_C,0,1
E00011,H0006,17,hombre,rural,Distrito_E,1,0
E00012,H0007,10,hombre,urbana,Distrito_B,0,1
E00013,H0007,8,mujer,urbana,Distrito_B,0,1
E00014,H0008,8,hombre,rural,Distrito_C,1,1
E00015,H0009,15,mujer,urbana,Distrito_A,1,1
E00016,H0009,13,hombre,urbana,Distrito_A,1,1
E00017,H0010,7,mujer,rural,Distrito_D,0,0
E00018,H0010,17,mujer,rural,Distrito_D,0,1
E00019,H0010,14,hombre,rural,Distrito_D,0,1
E00020,H0011,13,mujer,rural,Distrito_C,0,1
E00021,H0011,17,mujer,rural,Distrito_C,0,1
E00022,H0011,9,hombre,rural,Distrito_C,0,0
E00023,H0012,17,mujer,rural,Distrito_D,0,1
E00024,H0012,7,hombre,rural,Distrito_D,0,0
E00025,H0013,11,mujer,urbana,Distrito_A,0,1
E00026,H0013,11,hombre,urbana,Distrito_A,0,1
E00027,H0014,8,mujer,rural,Distrito_D,1,1
E00028,H0014,15,mujer,rural,Distrito_D,1,0
E00029,H0015,17,mujer,rural,Distrito_E,1,1
E00030,H0015,15,mujer,rural,Distrito_E,1,1
E00031,H0015,17,hombre,rural,Distrito_E,1,1
E00032,H0016,17,hombre,urbana,Distrito_A,0,1
E00033,H0016,13,mujer,urbana,Distrito_A,0,1
E00034,H0016,13,hombre,urbana,Distrito_A,0,1
E00035,H0017,8,mujer,rural,Distrito_C,1,1
E00036,H0018,10,mujer,rural,Distrito_C,1,1
E00037,H0018,17,mujer,rural,Distrito_C,1,1
E00038,H0018,16,hombre,rural,Distrito_C,1,1
E00039,H0019,10,mujer,rural,Distrito_D,1,1
E00040,H0019,16,mujer,rural,Distrito_D,1,1
E00041,H0020,10,mujer,rural,Distrito_E,1,1
E00042,H0021,11,mujer,rural,Distrito_E,1,0
E00043,H0021,15,mujer,rural,Distrito_E,1,0
E00044,H0022,10,hombre,rural,Distrito_C,1,1
E00045,H0023,14,hombre,rural,Distrito_C,0,0
E00046,H0024,7,hombre,urbana,Distrito_A,0,1
E00047,H0025,12,hombre,rural,Distrito_E,0,1
E00048,H0025,8,mujer,rural,Distrito_E,0,0
E00049,H0026,15,hombre,rural,Distrito_E,0,1
E00050,H0026,13,hombre,rural,Distrito_E,0,1
E00051,H0026,15,mujer,rural,Distrito_E,0,0
E00052,H0027,12,hombre,rural,Distrito_C,1,1
E00053,H0028,12,hombre,urbana,Distrito_A,0,1
E00054,H0028,17,mujer,urbana,Distrito_A,0,1
E00055,H0029,16,mujer,urbana,Distrito_B,0,1
E00056,H0030,11,hombre,urbana,Distrito_A,1,1
E00057,H0030,13,mujer,urbana,Distrito_A,1,0
E00058,H0031,8,mujer,urbana,Distrito_A,1,1
E00059,H0032,7,hombre,urbana,Distrito_B,0,1
E00060,H0032,10,hombre,urbana,Distrito_B,0,1
E00061,H0032,9,hombre,urbana,Distrito_B,0,1
E00062,H0033,16,mujer,rural,Distrito_D,1,1
E00063,H0034,14,mujer,urbana,Distrito_B,1,0
E00064,H0035,12,mujer,rural,Distrito_D,1,1
E00065,H0036,9,mujer,rural,Distrito_C,1,0
E00066,H0036,16,hombre,rural,Distrito_C,1,1
E00067,H0036,8,mujer,rural,Distrito_C,1,1
E00068,H0037,9,hombre,rural,Distrito_C,1,1
E00069,H0037,9,mujer,rural,Distrito_C,1,1
E00070,H0037,17,mujer,rural,Distrito_C,1,1
E00071,H0038,15,hombre,urbana,Distrito_B,1,1
E00072,H0039,9,mujer,rural,Distrito_E,0,0
E00073,H0040,8,hombre,rural,Distrito_D,1,1
E00074,H0041,15,mujer,rural,Distrito_D,1,1
E00075,H0041,14,mujer,rural,Distrito_D,1,0
E00076,H0042,6,mujer,urbana,Distrito_A,0,0
E00077,H0042,16,mujer,urbana,Distrito_A,0,1
E00078,H0042,12,mujer,urbana,Distrito_A,0,0
E00079,H0043,15,mujer,urbana,Distrito_A,0,1
E00080,H0043,6,mujer,urbana,Distrito_A,0,1
E00081,H0043,7,mujer,urbana,Distrito_A,0,0
E00082,H0044,15,mujer,rural,Distrito_E,1,1
